Serial,Company ,Date, Change,NetProfit,NetCapital
6,Company.3,12/31/2002,0.826666667,-173.3333333,826.6666667
7,Company.3,6/30/2003,1.016129032,16.12903226,1016.129032
8,Company.3,12/31/2003,1,0,1000
9,Company.3,6/30/2004,1.126984127,126.984127,1126.984127
10,Company.3,12/31/2004,0.901408451,-98.5915493,901.4084507
11,Company.3,6/30/2005,1.015625,15.625,1015.625
12,Company.3,12/31/2005,0.969230769,-30.76923077,969.2307692
13,Company.3,6/30/2006,1,0,1000
14,Company.3,12/31/2006,0.857142857,-142.8571429,857.1428571
15,Company.3,6/30/2007,1.148148148,148.1481481,1148.148148
15,Company.3,12/31/2007,0.935483871,-64.51612903,935.483871
17,Company.3,6/30/2008,1.017241379,17.24137931,1017.241379
18,Company.3,12/31/2008,0.86440678,-135.5932203,864.4067797
19,Company.3,6/30/2009,1,0,1000
20,Company.3,12/31/2009,1.137254902,137.254902,1137.254902
21,Company.3,6/30/2010,0.827586207,-172.4137931,827.5862069
22,Company.3,12/31/2010,1,0,1000
23,Company.3,6/30/2011,1.104166667,104.1666667,1104.166667
24,Company.3,12/31/2011,0.905660377,-94.33962264,905.6603774
25,Company.3,6/30/2012,1.0625,62.5,1062.5
26,Company.3,12/31/2012,0.960784314,-39.21568627,960.7843137
27,Company.3,6/30/2013,1.06122449,61.2244898,1061.22449
28,Company.3,12/31/2013,0.942307692,-57.69230769,942.3076923
29,Company.3,6/30/2014,1.142857143,142.8571429,1142.857143
30,Company.3,12/31/2014,0.964285714,-35.71428571,964.2857143
31,Company.3,6/30/2015,0.944444444,-55.55555556,944.4444444
32,Company.3,12/31/2015,1.058823529,58.82352941,1058.823529
33,Company.3,6/30/2016,1.018518519,18.51851852,1018.518519
34,Company.3,12/31/2016,1.090909091,90.90909091,1090.909091
35,Company.3,6/30/2017,1.05,50,1050
36,Company.3,12/31/2017,1.111111111,111.1111111,1111.111111
37,Company.3,6/30/2018,1.057142857,57.14285714,1057.142857
38,Company.3,12/31/2018,1.040540541,40.54054054,1040.540541
39,Company.3,6/30/2019,1.311688312,311.6883117,1311.688312
40,Company.3,12/31/2019,1.207920792,207.9207921,1207.920792
41,Company.3,6/30/2020,0.803278689,-196.7213115,803.2786885
42,Company.3,12/31/2020,0.918367347,-81.63265306,918.3673469
43,Company.3,6/30/2021,1.1,100,1100
,,,,,
1,Company.4,6/30/2000,NA,NA,NA
2,Company.4,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.4,6/30/2001,1.16,160,1160
4,Company.4,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.4,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.4,12/31/2002,1,0,1000
7,Company.4,6/30/2003,1.115789474,115.7894737,1115.789474
8,Company.4,12/31/2003,0.952830189,-47.16981132,952.8301887
9,Company.4,6/30/2004,1.059405941,59.40594059,1059.405941
10,Company.4,12/31/2004,0.971962617,-28.03738318,971.9626168
11,Company.4,6/30/2005,1.125,125,1125
12,Company.4,12/31/2005,0.948717949,-51.28205128,948.7179487
13,Company.4,6/30/2006,1.108108108,108.1081081,1108.108108
14,Company.4,12/31/2006,0.991869919,-8.130081301,991.8699187
15,Company.4,6/30/2007,1.090163934,90.16393443,1090.163934
15,Company.4,12/31/2007,0.947368421,-52.63157895,947.3684211
17,Company.4,6/30/2008,1.055555556,55.55555556,1055.555556
18,Company.4,12/31/2008,0.992481203,-7.518796992,992.481203
19,Company.4,6/30/2009,0.96969697,-30.3030303,969.6969697
20,Company.4,12/31/2009,1.0234375,23.4375,1023.4375
21,Company.4,6/30/2010,1.091603053,91.60305344,1091.603053
22,Company.4,12/31/2010,0.993006993,-6.993006993,993.006993
23,Company.4,6/30/2011,1.077464789,77.46478873,1077.464789
24,Company.4,12/31/2011,0.973856209,-26.14379085,973.8562092
25,Company.4,6/30/2012,1.080536913,80.53691275,1080.536913
26,Company.4,12/31/2012,0.99378882,-6.211180124,993.7888199
27,Company.4,6/30/2013,1.04375,43.75,1043.75
28,Company.4,12/31/2013,0.97005988,-29.94011976,970.0598802
29,Company.4,6/30/2014,1.092592593,92.59259259,1092.592593
30,Company.4,12/31/2014,0.983050847,-16.94915254,983.0508475
31,Company.4,6/30/2015,1.051724138,51.72413793,1051.724138
32,Company.4,12/31/2015,0.967213115,-32.78688525,967.2131148
33,Company.4,6/30/2016,1.18079096,180.7909605,1180.79096
34,Company.4,12/31/2016,0.923444976,-76.55502392,923.4449761
35,Company.4,6/30/2017,1.067357513,67.35751295,1067.357513
36,Company.4,12/31/2017,0.990291262,-9.708737864,990.2912621
37,Company.4,6/30/2018,0.965686275,-34.31372549,965.6862745
38,Company.4,12/31/2018,1.040609137,40.60913706,1040.609137
39,Company.4,6/30/2019,1,0,1000
40,Company.4,12/31/2019,0.990243902,-9.756097561,990.2439024
41,Company.4,6/30/2020,0.931034483,-68.96551724,931.0344828
42,Company.4,12/31/2020,0.851851852,-148.1481481,851.8518519
43,Company.4,6/30/2021,1.217391304,217.3913043,1217.391304
,,,,,
1,Company.5,6/30/2000,NA,NA,NA
2,Company.5,12/31/2000,0.65,-350,650
3,Company.5,6/30/2001,2.307692308,1307.692308,2307.692308
4,Company.5,12/31/2001,1.066666667,66.66666667,1066.666667
5,Company.5,6/30/2002,1.28125,281.25,1281.25
6,Company.5,12/31/2002,1.073170732,73.17073171,1073.170732
7,Company.5,6/30/2003,0.431818182,-568.1818182,431.8181818
8,Company.5,12/31/2003,1.473684211,473.6842105,1473.684211
9,Company.5,6/30/2004,2.178571429,1178.571429,2178.571429
10,Company.5,12/31/2004,1.06557377,65.57377049,1065.57377
11,Company.5,6/30/2005,1.276923077,276.9230769,1276.923077
12,Company.5,12/31/2005,1.180722892,180.7228916,1180.722892
13,Company.5,6/30/2006,1.091836735,91.83673469,1091.836735
14,Company.5,12/31/2006,0.971962617,-28.03738318,971.9626168
15,Company.5,6/30/2007,0.846153846,-153.8461538,846.1538462
15,Company.5,12/31/2007,1.113636364,113.6363636,1113.636364
17,Company.5,6/30/2008,1.193877551,193.877551,1193.877551
18,Company.5,12/31/2008,0.811965812,-188.034188,811.965812
19,Company.5,6/30/2009,1.105263158,105.2631579,1105.263158
20,Company.5,12/31/2009,1.019047619,19.04761905,1019.047619
21,Company.5,6/30/2010,1.074766355,74.76635514,1074.766355
22,Company.5,12/31/2010,1,0,1000
23,Company.5,6/30/2011,0.6,-400,600
24,Company.5,12/31/2011,1.057971014,57.97101449,1057.971014
25,Company.5,6/30/2012,1.479452055,479.4520548,1479.452055
26,Company.5,12/31/2012,0.833333333,-166.6666667,833.3333333
27,Company.5,6/30/2013,1.166666667,166.6666667,1166.666667
28,Company.5,12/31/2013,0.971428571,-28.57142857,971.4285714
29,Company.5,6/30/2014,1.098039216,98.03921569,1098.039216
30,Company.5,12/31/2014,0.946428571,-53.57142857,946.4285714
31,Company.5,6/30/2015,1.301886792,301.8867925,1301.886792
32,Company.5,12/31/2015,0.920289855,-79.71014493,920.2898551
33,Company.5,6/30/2016,0.795275591,-204.7244094,795.2755906
34,Company.5,12/31/2016,0.782178218,-217.8217822,782.1782178
35,Company.5,6/30/2017,0.911392405,-88.60759494,911.3924051
36,Company.5,12/31/2017,1.125,125,1125
37,Company.5,6/30/2018,0.839506173,-160.4938272,839.5061728
38,Company.5,12/31/2018,0.941176471,-58.82352941,941.1764706
39,Company.5,6/30/2019,1.078125,78.125,1078.125
40,Company.5,12/31/2019,0.898550725,-101.4492754,898.5507246
41,Company.5,6/30/2020,1.064516129,64.51612903,1064.516129
42,Company.5,12/31/2020,1.272727273,272.7272727,1272.727273
43,Company.5,6/30/2021,2.392857143,1392.857143,2392.857143
,,,,,
1,Company.6,6/30/2000,NA,NA,NA
2,Company.6,12/31/2000,1.066666667,66.66666667,1066.666667
3,Company.6,6/30/2001,1.34375,343.75,1343.75
4,Company.6,12/31/2001,1.069767442,69.76744186,1069.767442
5,Company.6,6/30/2002,1.326086957,326.0869565,1326.086957
6,Company.6,12/31/2002,1.049180328,49.18032787,1049.180328
7,Company.6,6/30/2003,0.921875,-78.125,921.875
8,Company.6,12/31/2003,0.983050847,-16.94915254,983.0508475
9,Company.6,6/30/2004,0.982758621,-17.24137931,982.7586207
10,Company.6,12/31/2004,0.771929825,-228.0701754,771.9298246
11,Company.6,6/30/2005,1,0,1000
12,Company.6,12/31/2005,0.977272727,-22.72727273,977.2727273
13,Company.6,6/30/2006,1.046511628,46.51162791,1046.511628
14,Company.6,12/31/2006,0.777777778,-222.2222222,777.7777778
15,Company.6,6/30/2007,1.114285714,114.2857143,1114.285714
15,Company.6,12/31/2007,0.871794872,-128.2051282,871.7948718
17,Company.6,6/30/2008,0.764705882,-235.2941176,764.7058824
18,Company.6,12/31/2008,5.076923077,4076.923077,5076.923077
19,Company.6,6/30/2009,0.174242424,-825.7575758,174.2424242
20,Company.6,12/31/2009,1.565217391,565.2173913,1565.217391
21,Company.6,6/30/2010,1.083333333,83.33333333,1083.333333
22,Company.6,12/31/2010,0.923076923,-76.92307692,923.0769231
23,Company.6,6/30/2011,0.861111111,-138.8888889,861.1111111
24,Company.6,12/31/2011,0.838709677,-161.2903226,838.7096774
25,Company.6,6/30/2012,1.038461538,38.46153846,1038.461538
26,Company.6,12/31/2012,0.814814815,-185.1851852,814.8148148
27,Company.6,6/30/2013,1.636363636,636.3636364,1636.363636
28,Company.6,12/31/2013,1.111111111,111.1111111,1111.111111
29,Company.6,6/30/2014,2.25,1250,2250
30,Company.6,12/31/2014,1.933333333,933.3333333,1933.333333
31,Company.6,6/30/2015,0.534482759,-465.5172414,534.4827586
32,Company.6,12/31/2015,1.032258065,32.25806452,1032.258065
33,Company.6,6/30/2016,1.166666667,166.6666667,1166.666667
34,Company.6,12/31/2016,1.080357143,80.35714286,1080.357143
35,Company.6,6/30/2017,0.776859504,-223.1404959,776.8595041
36,Company.6,12/31/2017,2.085106383,1085.106383,2085.106383
37,Company.6,6/30/2018,0.37244898,-627.5510204,372.4489796
38,Company.6,12/31/2018,0.780821918,-219.1780822,780.8219178
39,Company.6,6/30/2019,0.98245614,-17.54385965,982.4561404
40,Company.6,12/31/2019,0.910714286,-89.28571429,910.7142857
41,Company.6,6/30/2020,0.862745098,-137.254902,862.745098
42,Company.6,12/31/2020,1.113636364,113.6363636,1113.636364
43,Company.6,6/30/2021,0.87755102,-122.4489796,877.5510204
,,,,,
1,Company.6,6/30/2000,NA,NA,NA
2,Company.6,12/31/2000,0.769230769,-230.7692308,769.2307692
3,Company.6,6/30/2001,2.4,1400,2400
4,Company.6,12/31/2001,1.458333333,458.3333333,1458.333333
5,Company.6,6/30/2002,2.257142857,1257.142857,2257.142857
6,Company.6,12/31/2002,1.037974684,37.97468354,1037.974684
7,Company.6,6/30/2003,1.280487805,280.4878049,1280.487805
8,Company.6,12/31/2003,1.895238095,895.2380952,1895.238095
9,Company.6,6/30/2004,1.025125628,25.12562814,1025.125628
10,Company.6,12/31/2004,1.009803922,9.803921569,1009.803922
11,Company.6,6/30/2005,1.014563107,14.5631068,1014.563107
12,Company.6,12/31/2005,1,0,1000
13,Company.6,6/30/2006,0.526315789,-473.6842105,526.3157895
14,Company.6,12/31/2006,0.8,-200,800
15,Company.6,6/30/2007,1.227272727,227.2727273,1227.272727
15,Company.6,12/31/2007,1.916666667,916.6666667,1916.666667
17,Company.6,6/30/2008,0.985507246,-14.49275362,985.5072464
18,Company.6,12/31/2008,0.980392157,-19.60784314,980.3921569
19,Company.6,6/30/2009,0.545,-455,545
20,Company.6,12/31/2009,1.871559633,871.559633,1871.559633
21,Company.6,6/30/2010,1.019607843,19.60784314,1019.607843
22,Company.6,12/31/2010,1,0,1000
23,Company.6,6/30/2011,0.995192308,-4.807692308,995.1923077
24,Company.6,12/31/2011,0.710144928,-289.8550725,710.1449275
25,Company.6,6/30/2012,0.319727891,-680.2721088,319.7278912
26,Company.6,12/31/2012,2.361702128,1361.702128,2361.702128
27,Company.6,6/30/2013,0.378378378,-621.6216216,378.3783784
28,Company.6,12/31/2013,0.142857143,-857.1428571,142.8571429
29,Company.6,6/30/2014,1.166666667,166.6666667,1166.666667
30,Company.6,12/31/2014,1,0,1000
31,Company.6,6/30/2015,2.857142857,1857.142857,2857.142857
32,Company.6,12/31/2015,1.05,50,1050
33,Company.6,6/30/2016,1.761904762,761.9047619,1761.904762
34,Company.6,12/31/2016,1,0,1000
35,Company.6,6/30/2017,1,0,1000
36,Company.6,12/31/2017,0.648648649,-351.3513514,648.6486486
37,Company.6,6/30/2018,0.958333333,-41.66666667,958.3333333
38,Company.6,12/31/2018,0.695652174,-304.3478261,695.6521739
39,Company.6,6/30/2019,1,0,1000
40,Company.6,12/31/2019,1.0625,62.5,1062.5
41,Company.6,6/30/2020,1.352941176,352.9411765,1352.941176
42,Company.6,12/31/2020,0.739130435,-260.8695652,739.1304348
43,Company.6,6/30/2021,2,1000,2000
,,,,,
1,Company.7,6/30/2000,NA,NA,NA
2,Company.7,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.7,6/30/2001,1.16,160,1160
4,Company.7,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.7,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.7,12/31/2002,1,0,1000
7,Company.7,6/30/2003,1.115789474,115.7894737,1115.789474
8,Company.7,12/31/2003,0.952830189,-47.16981132,952.8301887
9,Company.7,6/30/2004,1.059405941,59.40594059,1059.405941
10,Company.7,12/31/2004,0.971962617,-28.03738318,971.9626168
11,Company.7,6/30/2005,1.125,125,1125
12,Company.7,12/31/2005,0.948717949,-51.28205128,948.7179487
13,Company.7,6/30/2006,1.108108108,108.1081081,1108.108108
14,Company.7,12/31/2006,0.991869919,-8.130081301,991.8699187
15,Company.7,6/30/2007,1.090163934,90.16393443,1090.163934
15,Company.7,12/31/2007,0.947368421,-52.63157895,947.3684211
17,Company.7,6/30/2008,1.055555556,55.55555556,1055.555556
18,Company.7,12/31/2008,0.992481203,-7.518796992,992.481203
19,Company.7,6/30/2009,0.96969697,-30.3030303,969.6969697
20,Company.7,12/31/2009,1.0234375,23.4375,1023.4375
21,Company.7,6/30/2010,1.091603053,91.60305344,1091.603053
22,Company.7,12/31/2010,0.993006993,-6.993006993,993.006993
23,Company.7,6/30/2011,1.077464789,77.46478873,1077.464789
24,Company.7,12/31/2011,0.973856209,-26.14379085,973.8562092
25,Company.7,6/30/2012,1.080536913,80.53691275,1080.536913
26,Company.7,12/31/2012,0.99378882,-6.211180124,993.7888199
27,Company.7,6/30/2013,1.04375,43.75,1043.75
28,Company.7,12/31/2013,0.97005988,-29.94011976,970.0598802
29,Company.7,6/30/2014,1.092592593,92.59259259,1092.592593
30,Company.7,12/31/2014,0.983050847,-16.94915254,983.0508475
31,Company.7,6/30/2015,1.051724138,51.72413793,1051.724138
32,Company.7,12/31/2015,0.967213115,-32.78688525,967.2131148
33,Company.7,6/30/2016,1.056497175,56.49717514,1056.497175
34,Company.7,12/31/2016,1.032085561,32.0855615,1032.085561
35,Company.7,6/30/2017,1.005181347,5.18134715,1005.181347
36,Company.7,12/31/2017,1.010309278,10.30927835,1010.309278
37,Company.7,6/30/2018,1.010204082,10.20408163,1010.204082
38,Company.7,12/31/2018,0.98989899,-10.1010101,989.8989899
39,Company.7,6/30/2019,0.984693878,-15.30612245,984.6938776
40,Company.7,12/31/2019,1.010362694,10.3626943,1010.362694
41,Company.7,6/30/2020,0.943589744,-56.41025641,943.5897436
42,Company.7,12/31/2020,0.983695652,-16.30434783,983.6956522
43,Company.7,6/30/2021,1.027624309,27.62430939,1027.624309
,,,,,
1,Company.8,6/30/2000,NA,NA,NA
2,Company.8,12/31/2000,0.949367089,-50.63291139,949.3670886
3,Company.8,6/30/2001,1.16,160,1160
4,Company.8,12/31/2001,1.034482759,34.48275862,1034.482759
5,Company.8,6/30/2002,1.055555556,55.55555556,1055.555556
6,Company.8,12/31/2002,1,0,1000
7,Company.8,6/30/2003,1.115789474,115.7894737,1115.789474
8,Company.8,12/31/2003,0.952830189,-47.16981132,952.8301887
9,Company.8,6/30/2004,1.059405941,59.40594059,1059.405941
10,Company.8,12/31/2004,0.971962617,-28.03738318,971.9626168
11,Company.8,6/30/2005,1.125,125,1125
12,Company.8,12/31/2005,0.948717949,-51.28205128,948.7179487
